pincode,area,lat,lng,district,state,type
110001,New Delhi G.P.O.,28.6369,77.2183,New Delhi,Delhi,unknown
110002,Civic Centre,28.6109,77.214,New Delhi,Delhi,unknown
110003,Delhi High Court,28.6431,77.2197,Central Delhi,Delhi,unknown
110004,Rashtrapati Bhawan,28.6455,77.205,Central Delhi,Delhi,unknown
110005,Anand Parbat,28.6431,77.2197,Central Delhi,Delhi,unknown
110006,Delhi Sadar Bazar,28.7106,77.2115,North Delhi,Delhi,unknown
110007,Delhi University,28.6764,77.2074,North Delhi,Delhi,unknown
110008,Patel Nagar East,28.6431,77.2197,Central Delhi,Delhi,unknown
110009,Model Town III,28.7121,77.206,North West Delhi,Delhi,unknown
110010,505 A B Workshop,28.5724,77.0274,South West Delhi,Delhi,unknown
110011,South Avenue,28.6431,77.2197,Central Delhi,Delhi,unknown
110012,Inderpuri,28.6431,77.2197,Central Delhi,Delhi,unknown
110013,Hazrat Nizamuddin,28.5878,77.2541,South Delhi,Delhi,unknown
110014,Jungpura,28.5014,77.2274,South Delhi,Delhi,unknown
110015,Karam Pura,28.6553,77.0657,West Delhi,Delhi,unknown
110016,IT Hauz Khas,28.5531,77.1916,South West Delhi,Delhi,unknown
110017,Saket (South Delhi),28.5189,77.2131,South Delhi,Delhi,unknown
110018,Mahabir Nagar,28.6396,77.0884,West Delhi,Delhi,unknown
110019,Nehru Place,28.5014,77.2274,South Delhi,Delhi,unknown
110020,F F C Okhla,28.6109,77.214,New Delhi,Delhi,unknown
110021,Moti Bagh,28.5818,77.1793,South West Delhi,Delhi,unknown
110022,R K Puram Sect-3,28.5724,77.0274,South West Delhi,Delhi,unknown
110023,Netaji Nagar (South West Delhi),28.5724,77.0274,South West Delhi,Delhi,unknown
110024,Krishna Market,28.5724,77.2365,South Delhi,Delhi,unknown
110025,New Friends Colony,28.5672,77.2725,South Delhi,Delhi,unknown
110026,Punjabi Bagh Sec - III,28.6709,77.141,West Delhi,Delhi,unknown
110027,Subhash Nagar West,28.6553,77.0657,West Delhi,Delhi,unknown
110028,Naraina Village,28.5724,77.0274,South West Delhi,Delhi,unknown
110029,Nauroji Nagar,28.6109,77.214,New Delhi,Delhi,unknown
110030,Paryavaran Complex,28.5724,77.0274,South West Delhi,Delhi,unknown
110031,Gandhi Nagar (East Delhi),28.6548,77.2752,East Delhi,Delhi,unknown
110032,Babarpur (North East Delhi),28.6875,77.2856,North East Delhi,Delhi,unknown
110033,Adrash Nagar,28.716,77.1429,North West Delhi,Delhi,unknown
110034,Shakurbasti Rs,28.716,77.1429,North West Delhi,Delhi,unknown
110035,Keshav Puram (North West Delhi),28.6772,77.1573,North West Delhi,Delhi,unknown
110036,Mukhmelpur,28.8127,77.1616,North West Delhi,Delhi,unknown
110037,Gurgaon Road,28.548,77.1133,South West Delhi,Delhi,unknown
110038,A F Rajokari,28.5724,77.0274,South West Delhi,Delhi,unknown
110039,Auchandi,28.8203,76.9962,North West Delhi,Delhi,unknown
110040,Kanya Gurukul,28.8408,77.0939,North West Delhi,Delhi,unknown
110041,Bakkarwala,28.6735,77.014,West Delhi,Delhi,unknown
110042,Siraspur,28.7581,77.1309,North West Delhi,Delhi,unknown
110043,Gopal Nagar,28.6109,77.214,New Delhi,Delhi,unknown
110044,Tugalkabad,28.5027,77.3084,South Delhi,Delhi,unknown
110045,Durga Park,28.6553,77.0657,West Delhi,Delhi,unknown
110046,Nangal Raya,28.6093,77.1118,South West Delhi,Delhi,unknown
110047,Aya Nagar,28.5724,77.0274,South West Delhi,Delhi,unknown
110048,Kailash Colony,28.5589,77.2531,South Delhi,Delhi,unknown
110049,Gulmohar Park,28.5014,77.2274,South Delhi,Delhi,unknown
110050,Safdarjung Sorting Delivery Office,28.5014,77.2274,South Delhi,Delhi,unknown
110051,Govind Pura,28.6292,77.298,East Delhi,Delhi,unknown
110052,Satyawati Nagar,28.7688,77.0869,North West Delhi,Delhi,unknown
110053,Bhajan Pura,28.6866,77.2732,North East Delhi,Delhi,unknown
110054,Aruna Nagar,28.6921,77.2245,North Delhi,Delhi,unknown
110055,A.K.Market,28.6417,77.2132,Central Delhi,Delhi,unknown
110056,New Multan Nagar,28.7688,77.0869,North West Delhi,Delhi,unknown
110057,Vasant Vihar-1,28.5724,77.0274,South West Delhi,Delhi,unknown
110058,Janakpuri B-1,28.6553,77.0657,West Delhi,Delhi,unknown
110059,K-5 Extension Mohan  Garden,28.6553,77.0657,West Delhi,Delhi,unknown
110060,Rajender Nagar,28.6431,77.2197,Central Delhi,Delhi,unknown
110061,Shahbad Mohammadpur,28.5346,77.0536,South West Delhi,Delhi,unknown
